step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,83696,(The,0.75293,1.0,0.532178,0.0,0.8,0.95
2,6566,(The stage,0.404297,0.431885,0.323394,-0.208785,0.8,0.95
3,374,(The stage is,0.013695,0.625,0.619682,0.296288,0.8,0.95
4,5213,(The stage is dim,0.462402,0.45874,0.326941,-0.292741,0.8,0.95
5,398,(The stage is dimly,0.001336,0.617676,0.617163,0.290222,0.8,0.95
6,13318,(The stage is dimly lit,0.000161,0.349121,0.349086,-0.268077,0.8,0.95
7,11,"(The stage is dimly lit,",0.165405,0.630371,0.565587,0.2165,0.8,0.95
8,449,"(The stage is dimly lit, with",0.210693,0.628418,0.546151,-0.019435,0.8,0.95
9,264,"(The stage is dimly lit, with a",0.08075,0.652832,0.620078,0.073927,0.8,0.95
10,3254,"(The stage is dimly lit, with a single",0.109619,0.774414,0.721669,0.101591,0.8,0.95
11,37973,"(The stage is dimly lit, with a single spotlight",0.036377,0.387207,0.378455,-0.343213,0.8,0.95
12,49025,"(The stage is dimly lit, with a single spotlight shining",0.277588,0.579102,0.479221,0.100766,0.8,0.95
13,1523,"(The stage is dimly lit, with a single spotlight shining down",0.602539,0.67334,0.421256,-0.057965,0.8,0.95
14,389,"(The stage is dimly lit, with a single spotlight shining down on",0.004768,0.305908,0.305002,-0.116254,0.8,0.95
15,279,"(The stage is dimly lit, with a single spotlight shining down on the",0.10199,0.463379,0.434015,0.129013,0.8,0.95
16,19114,"(The stage is dimly lit, with a single spotlight shining down on the speaker",0.017563,0.383545,0.37936,-0.054655,0.8,0.95
17,13,"(The stage is dimly lit, with a single spotlight shining down on the speaker.",0.567383,0.458008,0.296544,-0.082815,0.8,0.95
18,2435,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They",0.854492,0.312012,0.146357,-0.150188,0.8,0.95
19,2559,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand",0.422119,0.435303,0.321133,0.174776,0.8,0.95
20,78076,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently",1.125,0.654785,0.197089,-0.124044,0.8,0.95
21,11,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently,",0.029999,0.505859,0.496431,0.299341,0.8,0.95
22,449,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with",1.351562,0.59668,0.095604,-0.400826,0.8,0.95
23,264,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a",0.074524,0.633301,0.603976,0.508372,0.8,0.95
24,6651,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix",1.148438,0.371582,0.106434,-0.497542,0.8,0.95
25,315,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of",2.8e-05,0.506348,0.506339,0.399904,0.8,0.95
26,21958,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions",1.05957,0.309082,0.105598,-0.40074,0.8,0.95
27,1880,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions et",1.246094,0.305664,0.069006,-0.036592,0.8,0.95
28,2454,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched",0.000631,0.225342,0.225253,0.156247,0.8,0.95
29,389,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on",0.005634,0.421387,0.419912,0.194658,0.8,0.95
30,872,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their",2e-06,0.602051,0.60205,0.182138,0.8,0.95
31,3663,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face",0.000282,0.213623,0.213586,-0.388464,0.8,0.95
32,13,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face.",0.208252,0.409668,0.356659,0.143074,0.8,0.95
33,2435,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They",0.533203,0.336426,0.224969,-0.131691,0.8,0.95
34,3240,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin",0.317383,0.366211,0.293994,0.069025,0.8,0.95
35,311,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to",0.201782,0.506348,0.442865,0.148871,0.8,0.95
36,6604,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak",0.000272,0.359375,0.359314,-0.08355,0.8,0.95
37,304,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in",0.739746,0.49585,0.267942,-0.091372,0.8,0.95
38,6498,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English",0.613281,0.368408,0.228025,-0.039917,0.8,0.95
39,9456,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

",0.731934,0.097046,0.052912,-0.175113,0.8,0.95
40,7189,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I",1.301758,0.150024,0.028681,-0.024231,0.8,0.95
41,2846,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm",0.816406,0.450928,0.222189,0.193509,0.8,0.95
42,19781,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired",1.342773,0.394531,0.065369,-0.15682,0.8,0.95
43,315,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of",0.18042,0.45752,0.406231,0.340862,0.8,0.95
44,55906,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending",0.818848,0.356201,0.174974,-0.231257,0.8,0.95
45,13,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending.",1.046875,0.335693,0.117338,-0.057635,0.8,0.95
46,358,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I",0.687012,0.274658,0.157416,0.040078,0.8,0.95
47,2846,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm",0.007069,0.424072,0.42221,0.264793,0.8,0.95
48,19781,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired",0.345703,0.469482,0.368639,-0.053571,0.8,0.95
49,315,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of",-0.0,0.499756,0.499756,0.131117,0.8,0.95
50,10917,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting",1.19043,0.420654,0.109515,-0.390241,0.8,0.95
51,389,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on",0.010468,0.636719,0.632578,0.523063,0.8,0.95
52,264,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a",0.042664,0.646484,0.629347,-0.003231,0.8,0.95
53,7056,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask",1.053711,0.387451,0.133784,-0.495563,0.8,0.95
54,323,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and",1.035156,0.403809,0.144087,0.010303,0.8,0.95
55,26092,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding",1.037109,0.229858,0.081739,-0.062348,0.8,0.95
56,4920,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind",0.752441,0.328613,0.174981,0.093241,0.8,0.95
57,264,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a",0.985352,0.654785,0.253904,0.078923,0.8,0.95
58,15648,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile",1.119141,0.291016,0.088655,-0.165249,0.8,0.95
59,13,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile.",0.002901,0.325195,0.324609,0.235954,0.8,0.95
60,358,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I",0.215088,0.245728,0.212888,-0.111721,0.8,0.95
61,2846,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm",0.152954,0.416992,0.377363,0.164475,0.8,0.95
62,19781,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired",0.389893,0.498779,0.377948,0.000585,0.8,0.95
63,315,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of",9.2e-05,0.491943,0.491915,0.113967,0.8,0.95
64,1694,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being",1.067383,0.495117,0.166754,-0.325161,0.8,0.95
65,279,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the",1.332031,0.536133,0.092409,-0.074345,0.8,0.95
66,3831,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong",0.519531,0.581055,0.393489,0.301079,0.8,0.95
67,832,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one",0.04657,0.393799,0.382404,-0.011084,0.8,0.95
68,11,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one,",0.046936,0.512207,0.49727,0.114865,0.8,0.95
69,279,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the",0.330322,0.464844,0.369439,-0.127831,0.8,0.95
70,832,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one",1.060547,0.455078,0.155202,-0.214237,0.8,0.95
71,889,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who",0.151001,0.521973,0.473,0.317798,0.8,0.95
72,2646,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never",0.911133,0.428223,0.185798,-0.287202,0.8,0.95
73,5039,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows",0.842773,0.380371,0.181192,-0.004606,0.8,0.95
74,23948,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness",0.524902,0.340332,0.229336,0.048144,0.8,0.95
75,13,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness.",0.405029,0.351318,0.262906,0.03357,0.8,0.95
76,2030,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But",0.839844,0.467285,0.223444,-0.039462,0.8,0.95
77,279,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the",1.146484,0.484863,0.139471,-0.083974,0.8,0.95
78,8206,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth",0.009102,0.307129,0.305392,0.165921,0.8,0.95
79,374,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is",0.0002,0.491455,0.491394,0.186002,0.8,0.95
80,11,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is,",0.16394,0.41748,0.374955,-0.116439,0.8,0.95
81,358,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I",0.015671,0.385986,0.382228,0.007273,0.8,0.95
82,2846,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm",0.028168,0.516113,0.50708,0.124852,0.8,0.95
83,89417,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling",1.585938,0.387207,0.005654,-0.501427,0.8,0.95
84,4871,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside",1.058594,0.637695,0.218257,0.212603,0.8,0.95
85,13,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside.",0.05603,0.430664,0.415671,0.197414,0.8,0.95
86,358,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I",0.412842,0.283447,0.210739,-0.204932,0.8,0.95
87,2846,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm",0.06427,0.439941,0.422373,0.211634,0.8,0.95
88,74537,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning",1.424805,0.351074,0.040275,-0.382098,0.8,0.95
89,304,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in",0.004642,0.498779,0.497341,0.457066,0.8,0.95
90,856,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my",1.243164,0.766602,0.174462,-0.322878,0.8,0.95
91,1866,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own",0.220703,0.854004,0.736894,0.562432,0.8,0.95
92,21958,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions",1.445312,0.285156,0.029079,-0.707815,0.8,0.95
93,11,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions,",0.076416,0.446533,0.425332,0.396252,0.8,0.95
94,323,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and",0.757812,0.61377,0.324773,-0.100559,0.8,0.95
95,358,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I",0.065857,0.546875,0.524497,0.199724,0.8,0.95
96,1541,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don",0.117493,0.235107,0.217944,-0.306553,0.8,0.95
97,956,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't",0.000112,0.239258,0.239241,0.021297,0.8,0.95
98,1440,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know",0.000218,0.507324,0.507255,0.268014,0.8,0.95
99,1268,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know how",0.001936,0.498779,0.498179,-0.009076,0.8,0.95
100,311,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know how to",0.229858,0.476318,0.408291,-0.089888,0.8,0.95
101,2567,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know how to keep",0.94873,0.426514,0.175093,-0.233198,0.8,0.95
102,856,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know how to keep my",0.306641,0.462158,0.374105,0.199012,0.8,0.95
103,2010,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know how to keep my head",0.00012,0.358643,0.358616,-0.015489,0.8,0.95
104,3485,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know how to keep my head above",0.000735,0.347168,0.347009,-0.011606,0.8,0.95
105,3090,"(The stage is dimly lit, with a single spotlight shining down on the speaker. They stand confidently, with a mix of emotions etched on their face. They begin to speak in English.)

""I'm tired of pretending. I'm tired of putting on a mask and hiding behind a smile. I'm tired of being the strong one, the one who never shows weakness. But the truth is, I'm crumbling inside. I'm drowning in my own emotions, and I don't know how to keep my head above water",0.014397,0.289551,0.286961,-0.060049,0.8,0.95
