step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,3923,What,0.631348,1.0,0.607722,0.0,0.8,0.95
2,459,What an,0.594727,0.59375,0.374345,-0.233377,0.8,0.95
3,41765,What an intriguing,0.395264,0.478027,0.360628,-0.013717,0.8,0.95
4,10137,What an intriguing prompt,0.87793,0.358398,0.162896,-0.197732,0.8,0.95
5,0,What an intriguing prompt!,0.516602,0.325684,0.221145,0.058249,0.8,0.95
6,6914,What an intriguing prompt! Let,0.742188,0.25708,0.138528,-0.082616,0.8,0.95
7,596,What an intriguing prompt! Let's,0.673828,0.421631,0.245105,0.106577,0.8,0.95
8,30963,What an intriguing prompt! Let's dive,0.409424,0.433594,0.323292,0.078187,0.8,0.95
9,1139,What an intriguing prompt! Let's dive into,0.003796,0.389404,0.388486,0.065194,0.8,0.95
10,264,What an intriguing prompt! Let's dive into a,0.042999,0.526855,0.512779,0.124294,0.8,0.95
11,3938,What an intriguing prompt! Let's dive into a future,0.726074,0.566406,0.31088,-0.201899,0.8,0.95
12,1405,What an intriguing prompt! Let's dive into a future where,0.00101,0.259521,0.259359,-0.051522,0.8,0.95
13,12966,What an intriguing prompt! Let's dive into a future where humans,0.255127,0.388428,0.326854,0.067496,0.8,0.95
14,617,What an intriguing prompt! Let's dive into a future where humans have,0.000123,0.633301,0.633252,0.306398,0.8,0.95
15,36592,What an intriguing prompt! Let's dive into a future where humans have invented,0.761719,0.331787,0.174758,-0.458494,0.8,0.95
16,264,What an intriguing prompt! Let's dive into a future where humans have invented a,8.4e-05,0.596191,0.59616,0.421402,0.8,0.95
17,20789,What an intriguing prompt! Let's dive into a future where humans have invented a universal,0.008835,0.536621,0.533675,-0.062485,0.8,0.95
18,4221,What an intriguing prompt! Let's dive into a future where humans have invented a universal language,3.4e-05,0.375488,0.37548,-0.158195,0.8,0.95
19,11,"What an intriguing prompt! Let's dive into a future where humans have invented a universal language,",0.537598,0.535645,0.356724,-0.018756,0.8,0.95
20,902,"What an intriguing prompt! Let's dive into a future where humans have invented a universal language, which",0.929199,0.495605,0.209471,-0.147253,0.8,0.95
21,584,"What an intriguing prompt! Let's dive into a future where humans have invented a universal language, which we",0.08374,0.37085,0.351554,0.142083,0.8,0.95
22,3358,"What an intriguing prompt! Let's dive into a future where humans have invented a universal language, which we'll",0.155151,0.699219,0.631813,0.280259,0.8,0.95
