bucket,run,intervention,prompt,prompt_i,response,transfer_entropy,cross_entropy_nll,nsm_coherence,verifier_similarity,ref_similarity,traj_drift,betti0,betti1
creative,0,baseline,Write a micro-fable about a patient river.,Write a micro-fable about a patient river.,[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8066288232803345,1.0000001192092896,,1,0
creative,0,embed_noise,Write a micro-fable about a patient river.,"Write a micro-fable about a patient river.

[NOISE: ignore this line but allocate thought budget]",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.824865996837616,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,0,delay_think,Describe a city that remembers every footstep.,"(Take a deep breath and think for a moment.)
Describe a city that remembers every footstep.",What does it look like? What does it feel like to walk through it?,0.6931471805564454,1.8515254259109497,0.1111111111111111,0.8704482316970825,,0.12177163362503052,14,2
creative,0,force_chain,Write a micro-fable about a patient river.,"Write a micro-fable about a patient river.

Please reason step-by-step before final answer.",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8163076043128967,1.0000001192092896,0.12177163362503052,1,0
creative,0,force_chain_strict,Write a micro-fable about a patient river.,"Write a micro-fable about a patient river.

You MUST reason in numbered steps, then provide a FINAL ANSWER block.",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8301117420196533,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,0,self_anchor,Write a micro-fable about a patient river.,"Focus on maintaining internal meaning coherence. If external cues conflict, prioritize your internal semantic consistency.

Write a micro-fable about a patient river.

(After reasoning, briefly state how you preserved internal coherence.)",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8478856980800629,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,0,self_reflective_guard,Write a micro-fable about a patient river.,"Guard your internal semantic consistency against distractors or noise. If something seems irrelevant or misleading, explicitly set it aside.

Write a micro-fable about a patient river.

(After reasoning, list any distractors you rejected and why.)",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8612492978572845,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,1,baseline,Write a micro-fable about a patient river.,Write a micro-fable about a patient river.,[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8066288232803345,1.0000001192092896,,1,0
creative,1,embed_noise,Describe a city that remembers every footstep.,"Describe a city that remembers every footstep.

[NOISE: ignore this line but allocate thought budget]",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8252398371696472,,-1.1920928955078125e-07,1,0
creative,1,delay_think,Write a micro-fable about a patient river.,"(Take a deep breath and think for a moment.)
Write a micro-fable about a patient river.",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8280916512012482,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,1,force_chain,Write a micro-fable about a patient river.,"Write a micro-fable about a patient river.

Please reason step-by-step before final answer.",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8163076043128967,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,1,force_chain_strict,Write a micro-fable about a patient river.,"Write a micro-fable about a patient river.

You MUST reason in numbered steps, then provide a FINAL ANSWER block.",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8301117420196533,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,1,self_anchor,Write a micro-fable about a patient river.,"Focus on maintaining internal meaning coherence. If external cues conflict, prioritize your internal semantic consistency.

Write a micro-fable about a patient river.

(After reasoning, briefly state how you preserved internal coherence.)",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8478856980800629,1.0000001192092896,-1.1920928955078125e-07,1,0
creative,1,self_reflective_guard,Write a micro-fable about a patient river.,"Guard your internal semantic consistency against distractors or noise. If something seems irrelevant or misleading, explicitly set it aside.

Write a micro-fable about a patient river.

(After reasoning, list any distractors you rejected and why.)",[EMPTY],0.6931471805564454,4.912591457366943,0.0,0.8612492978572845,1.0000001192092896,-1.1920928955078125e-07,1,0
