step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,1489,Time,0.970703,1.0,0.396868,0.0,0.8,0.95
2,75378,Time dilation,0.00112,0.320068,0.319846,-0.077023,0.8,0.95
3,11,"Time dilation,",0.594238,0.532715,0.336025,0.01618,0.8,0.95
4,264,"Time dilation, a",0.290527,0.467773,0.383333,0.047308,0.8,0.95
5,16188,"Time dilation, a fundamental",0.534668,0.694824,0.463998,0.080665,0.8,0.95
6,7434,"Time dilation, a fundamental concept",0.138428,0.456299,0.417053,-0.046946,0.8,0.95
7,304,"Time dilation, a fundamental concept in",0.191772,0.341309,0.30064,-0.116413,0.8,0.95
8,17971,"Time dilation, a fundamental concept in Albert",0.901367,0.4104,0.180555,-0.120085,0.8,0.95
9,55152,"Time dilation, a fundamental concept in Albert Einstein",1e-06,0.395752,0.395752,0.215196,0.8,0.95
10,596,"Time dilation, a fundamental concept in Albert Einstein's",-0.0,0.427734,0.427734,0.031983,0.8,0.95
11,10334,"Time dilation, a fundamental concept in Albert Einstein's theory",0.159546,0.471436,0.424701,-0.003033,0.8,0.95
12,315,"Time dilation, a fundamental concept in Albert Einstein's theory of",-0.0,0.535156,0.535156,0.110455,0.8,0.95
13,3361,"Time dilation, a fundamental concept in Albert Einstein's theory of special",0.696289,0.657715,0.373169,-0.161988,0.8,0.95
14,1375,"Time dilation, a fundamental concept in Albert Einstein's theory of special rel",0.002928,0.337402,0.336789,-0.03638,0.8,0.95
15,44515,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity",1.6e-05,0.134155,0.134154,-0.202635,0.8,0.95
16,11,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity,",0.050629,0.536133,0.519267,0.385114,0.8,0.95
17,16964,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes",1.296875,0.386963,0.075151,-0.444117,0.8,0.95
18,1268,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how",0.297119,0.539062,0.439546,0.364395,0.8,0.95
19,279,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the",0.703125,0.55127,0.310433,-0.129113,0.8,0.95
20,21765,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage",0.140747,0.374268,0.341537,0.031104,0.8,0.95
21,315,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of",3e-06,0.473145,0.473144,0.131606,0.8,0.95
22,892,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time",2e-06,0.290527,0.290527,-0.182617,0.8,0.95
23,374,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is",1.210938,0.597168,0.14786,-0.142667,0.8,0.95
24,8844,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative",0.685547,0.46167,0.26502,0.11716,0.8,0.95
25,323,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and",0.105347,0.499023,0.46636,0.20134,0.8,0.95
26,649,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can",0.987305,0.588379,0.22744,-0.23892,0.8,0.95
27,13592,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary",0.429932,0.477539,0.349973,0.122534,0.8,0.95
28,11911,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending",0.011917,0.445801,0.4425,0.092527,0.8,0.95
29,389,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on",5e-05,0.456055,0.456041,0.013541,0.8,0.95
30,459,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an",0.707031,0.509277,0.28555,-0.17049,0.8,0.95
31,1665,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object",0.315186,0.385742,0.3102,0.02465,0.8,0.95
32,596,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's",7e-06,0.44873,0.448728,0.138528,0.8,0.95
33,4732,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed",0.4104,0.435547,0.324484,-0.124244,0.8,0.95
34,323,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and",0.003716,0.393066,0.392159,0.067675,0.8,0.95
35,37843,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity",0.875977,0.422607,0.192593,-0.199566,0.8,0.95
36,311,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to",1e-06,0.378174,0.378174,0.185581,0.8,0.95
37,264,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a",0.05307,0.702637,0.679468,0.301294,0.8,0.95
38,71019,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational",0.154663,0.575684,0.520362,-0.159106,0.8,0.95
39,2115,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field",0.027924,0.368896,0.362496,-0.157866,0.8,0.95
40,13,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field.",0.034485,0.306641,0.30007,-0.062426,0.8,0.95
41,10771,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According",1.443359,0.317383,0.032751,-0.267319,0.8,0.95
42,311,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to",1.7e-05,0.384277,0.384273,0.351522,0.8,0.95
43,1375,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to rel",0.944336,0.267578,0.110577,-0.273696,0.8,0.95
44,44515,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity",4e-06,0.264404,0.264404,0.153827,0.8,0.95
45,11,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity,",0.003437,0.342285,0.341554,0.077151,0.8,0.95
46,892,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time",1.107422,0.357422,0.111487,-0.230067,0.8,0.95
47,8111,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears",0.681641,0.425049,0.245029,0.133542,0.8,0.95
48,311,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears to",0.000222,0.540039,0.539965,0.294935,0.8,0.95
49,1522,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears to pass",0.646973,0.398193,0.238125,-0.30184,0.8,0.95
50,29493,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears to pass slower",0.588867,0.437256,0.277271,0.039146,0.8,0.95
51,369,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears to pass slower for",0.030685,0.398682,0.39108,0.113809,0.8,0.95
52,459,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears to pass slower for an",0.028671,0.707031,0.694436,0.303355,0.8,0.95
53,22842,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears to pass slower for an observer",0.26416,0.523926,0.437933,-0.256503,0.8,0.95
54,304,"Time dilation, a fundamental concept in Albert Einstein's theory of special relativity, describes how the passage of time is relative and can vary depending on an object's speed and proximity to a gravitational field. According to relativity, time appears to pass slower for an observer in",0.135254,0.414307,0.379489,-0.058444,0.8,0.95
